ID,Additional_Comments,Label
523,Data isn't very good in Remedy. Workflows are not customizable Lack of other product integration such as JIRA,
524,I work in support. I need this tool to be available and up 100% of the time. I can't afford downtime and the timeout period is ridiculously short. Constantly having to refresh and then bring up ticket is extremely annoying and frustrating. Not to mention the  inconsistency in the columns displayed on incident monitor vs. reports.,
525,Too slow. Too unreliable.,
526,Almost a dozen mouse clicks to open a file that a client added through eService; this really slows me down (Navigator was way better on file management).  Search does not work very well; Navigator wins again in being able to search old SRs for related content or grouping old SRs by team to see who likely supports functionality.,
527,Poor performance and connectivity. Very time consuming to navigate and complete incident requests. If our Cerner EMR performed like this we would be out of business.,
528,"One of the worst parts of my day is when I have to log a ticket, or look at someone else's ticket. Or scroll down 3 different scroll bars because the webpage wont resize. Or I research an issue, write an email via the reply feature in remedy and its timed  out resulting in my email being lost. Making it harder and slower to access SR's does not make anybody happy. And its so slow.",
529,"Very slow. No child tickets. no ""convert to change"" button to make incidents changes.",
530,"working remotely, Remedy is extemely slow.  It does seem to be down quite a bit for one reason or another",
531,"This is one of the worst tools I have ever used, especially when I only use it every other month. Our SMS/Siemens mainframe-based ticekting system was easier to use.",
532,Create and searching for incidents are slow and cumbersome - it should be a quick and easy and when you are in the middle of troubleshooting it really SLOWS you down.,
533,worst interface in the history of UX.  would seem BMC intentionally instructed their developers to make the worst interface.,
534,Really slow at remote offices. Keeps hanging and browser crashes.,
535,"Horrible.  Never stays connected, not all of our apps are in the system, worst software I've ever used",
536,Perhaps the worst software I have ever used. Please replace ASAP.,
537,User interface is not intuitive,
538,this was a huge step back in tools for support. slows down productivity due to it's limitations.,
539,I didnt think anything could be worse then Navigator but then Remedy came along.,
540,"Locks up daily, overly convoluted",
541,"Navigator had its flaws, but it was lightyears better than Remedy.",
542,Never thought I'd want Navigator back. Remedy is clunky and painfully slow.,
543,The system is too slow to respond and move screen to screen,
544,"Clunky, slow, and hard to learn.",
545,Often down.   Often errors.   doesn't efficiently meet our needs.    It requires a lot more work and time.   Non-effective reporting capabilities.,
546,"Almost as bad as Navigator, but at least I was used to that crappy tool.",
547,I find remedy to be remarkably non-intuitive. As an infrequent user it is alwasy difficult to find the meaningful information needed.,
548,"Slow, frequently problematic",
549,it is difficult to  know which group to assign your ticket to.,
550,"A beast to work in. From a frontline perspective, slow and ugly.",
551,"Counter-intutive, too many menu options that seem irrelevant.",
552,Not very itutiive on what should be filled out and how certain fields should be set.,
553,"Remedy is horribly clunky and slow, and is down almost every week. I don't understand why other ticketing systems have not been considered or implemented.",
554,Crashes a lot/jsays there isn't connection after being inactive for a little while.,
555,I find the system to be clunky and the UE is not good. Takes too long to enter at ticket and not easy to navigate,
556,No ability to scroll between tickets from within the ticket.,
557,Slow in CME,
558,"Does anybody really understand Remedy? If so, I haven't yet met that person.",
559,"Specifically regarding Knowledge Management, this tool lacks the ability to create a parent-child hierarchy that supports a navigable ""knowledge base"" in the way that ucern wiki can support",
560,There have been many application issues recently,
561,"Ease of use, limited functionality.",
562,Slow,
563,Constant crashes,
564,Tickets are being closed before they are truly resolved and my role lost the ability to reopen tickets so I have logged 3-4 tickets for the exact same issue.,
565,The tool is slow and frequently has issues that have to be resolved in KC.,
566,Access to PHI is always an issue. I cannot access this information when I am on-call.,
567,"Issues with login, SR Viewing and navigator had a handy tool that alerted you on your desktop to a new update when necessary",
568,Need a better way to view SR conversation stream,
569,Always crashes.,
570,Not intuative and slow,
571,Bad user interface not able to use it,
572,so much harder than Navigator SRs,
573,"Remedy is frequently slow and I find it difficult to log tickets, still better than navigator was.",
574,We are forced to use incident module for RFI tickets. The communication functionality is lacking.,
575,Slow,
576,"I'm slowly starting to get used to this application.  It's not the most user friendly thing.  Reading through tickets and multiple entries is very time consuming.  The layout is not user-adjustable and appears to make everything important REALLY small.  It provides lots of needless information in big font, and all the useful information in small sections.",
577,Remedy is even slower than Navigator.  I am surprised that it was approved to be rolled out to be honest.,
578,"Remedy is confusing to me, an engineer who uses JIRA.",
579,Very slow,
580,Very slow at most times,
581,difficult to know who to assign a ticket to. Lots of unmonitoried queues. Confusion when assigning tiers.,
582,"extremely slow, not intuitive",
583,too clunky,
584,"slow, horrible search, not intuitive workflow",
585,this tool is not user friendly.  Can you believe I like Navigator better???,
586,The  performance speed is very slow,
587,Too many down times,
588,Messes up all the time.,
589,I have a hard time figuring out what team I need to send a ticket to.,
590,Remedy is not user friendly and clearly lacking.,
591,"Navigator functioned better and was more user-friendly, but I understand Remedy has modules and ITIL-processes that Navigator didn't have",
592,Working in Remedy is painful and we have to enable features/Values available to enable data analysis.,
593,Performance could be better,
594,Slow,
595,Slow performance / downtimes are too common,
596,"For those inexperienced, it is very hard to use",
597,"more cumbersome to view tickets, close tickets, audit tickets, and pull reports",
598,"Soooooo Slowwwwwww. My client has ServiceNow, so I operate in both systems and it feels like this tool was built for a different era. It might be the fact I am 100% virtual, but it takes so long to do anything.",
599,"Difficult to use, cannot search old SRs.",
600,Tool is not very user friendly or intuitive,
601,Somehow slower than Navigator which no one thought was possible.,
602,"Remedy notification workflow is not the best for an onsite tech support. I had to create 3 rules for updates on tickets, emails sent to remedy from customers and whenever an incident is assigned to me. Notifications(whenever incident is updated etc) works for active users. I am an onsite tech so I can't be active on remedy for 8 hours. The mobile version of remedy is not very functional, and whenever receiving remedy emails on my Cerner iphone I cant even open the remedy update. I suggest the content of update be displayed in the remedy email. Also, I suggest onsite tech support be provided with an Ipad from where you can be active in Remedy when walking to customer's location and also view the incident directly from Ipad and so the response time is faster.",
603,Slow and not intuitive to use. Frustrating often.,
604,Slow,
605,bit slow,
606,Very slow performance,
607,not very user friendly,
608,Tool tips would help a lot. There is a JavaScript box that lives in teh lower left of my page and covers needed buttons.,
609,Slow,
610,Not configured in a way to support hospital needs,
611,Just learning...,
612,"better than navigator, but needs work for efiflciency",
613,It's slow,
614,just learning,
615,Have not used enough to evaluate fully.,
616,Very cumbersome to navigate.,
617,On learning curve,
618,Just getting started,
619,slowness,
620,I haven't had to use Remedy yet but know i have a learning curve,
621,often very slow,
622,It is more difficutl to run queries and do analysis in remedy compared to navigator.,
623,Better than Navigator. Can still be very difficult to figure out what to fill in for different fields,
624,"Slow, but works",
625,"Remedy webpage would never load over the last few months, but last week it worked as normal",
626,Glad I don't utilize this all of the time because the tool isn't very customized to Cerner terminology and we should have much better reporting that comes out of this both for individuals and at executive level leadership views.,
627,"Better, but still slow",
628,Many times it is slow or non-responsive,
629,Overall good for logging issues but I see minor errors from time to time that we are just told to ignore.,
630,while potentially aggrivating it's a lot better than navigator,
631,I find it difficult to find the information I need in it when I'm searching through issues trying to find an answer.,
632,Not very intuitive. Unless you use it all the time often difficult to figure out. Frequently times out by the time you enter information,
633,Better if its more faster,
634,better than navigator,
635,Seems to be unavailable a lot,
636,Any updates in Remedy will not trigger email to concerned parties.,
637,Better performance than in the past,
